id,title_en,title_en_jp,status,startDate,endDate,ageRating,avgRating,rank,description
12,One Piece,One Piece,current,1999-10-20,,PG,83.95,14,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World G..."
13623,One Piece: Episode of East Blue,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,finished,2017-08-26,2017-08-26,PG,82.61,237,"The special will be a completely new work, featuring reanimated scenes from the beginning of the series through when the crew enters the Grand Line.

The speci..."
6827,One Piece Film: Z,One Piece Film: Z,finished,2012-12-15,2012-12-15,PG,82.28,380,"The Straw Hat Pirates enter the rough seas of the New World in search of the hidden treasures of the Pirate King, Gol D. Roger－One Piece. On their voyage, the ..."
3492,One Piece Film: Strong World,One Piece Film: Strong World,finished,2009-12-12,2009-12-12,PG,82.16,479,"20 years after his escape from Impel Down, the legendary pirate Shiki ""the Golden Lion"" reappears causing massive upheaval to the Marines. During his long secl..."
7240,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,finished,2012-08-25,2012-08-25,PG,82.19,612,"A retelling of the Arlong Park arc, with new animation."
7894,,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,finished,2013-08-24,2013-08-24,PG,82.21,660,"The story arcs aboard the Straw Hat Crew's first ship Going Merry (Merry Go in some adaptations) are recreated with brand-new animation, from Luffy and Usopp's..."
8718,One Piece 3D2Y: Overcome Ace’s Death! Luffy’s Vow to his Friends,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,finished,2014-08-30,2014-08-30,PG,82.09,829,"This new TV special tells the two years of Luffy's training with Silvers Rayleigh in Rusukaina Island after the Battle of Marineford, which has never been told..."
11351,,One Piece Film: Gold,finished,2016-07-23,2016-07-23,PG,81.79,839,"Monkey D. Luffy and his Straw Hat Crew have finally arrived on Gran Tesoro, a ship carrying the largest entertainment city in the world. Drawn in by the chance..."
421,,One Piece Movie 1,finished,2000-03-04,2000-03-04,PG,71.18,1572,"Woonan is the legendary Great Gold Pirate, earning the nickname after accumulating about 1/3 of the gold available in the world. Even after his disappearance, ..."
5469,,One Piece Film: Strong World Episode 0,finished,2010-04-01,2010-04-01,PG,80.42,1739,"Set over 20 years prior to the main One Piece story, this limited release OVA chronicles the confrontation between Gold Lion Shiki and Gold Roger as well as ot..."
1555,Naruto: Shippuden,Naruto: Shippuuden,finished,2007-02-15,2017-03-23,PG,84.05,28,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire..."
11,Naruto,Naruto,finished,2002-10-03,2007-02-08,PG,80.16,41,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked hav..."
7008,Road to Ninja: Naruto the Movie,Naruto: Shippuuden Movie 6 - Road to Ninja,finished,2012-07-28,2012-07-28,PG,78.31,672,"Ten years ago, a gigantic demon beast known as the Nine-Tailed Demon Fox was released from its jinchuuriki by an unknown shinobi wearing a mask. The village of..."
405,Naruto the Movie: Ninja Clash in the Land of Snow,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,finished,2004-08-21,2004-08-21,PG,69.17,691,"A land forever covered in ice... A princess missing for ten years... And one high-spirited ninja named Naruto! 
Naruto and the rest of Squad 7 take on a new mi..."
2245,Naruto: Shippuden the Movie,Naruto: Shippuuden Movie 1,finished,2007-08-04,2007-08-04,PG,73.3,700,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who..."
3606,Naruto: Shippuden the Movie 2 -Bonds-,Naruto: Shippuuden Movie 2 - Kizuna,finished,2008-08-02,2008-08-02,PG,72.04,827,"A mysterious group of ninjas makes a surprise attack on the Konohagakure, which takes great damage. The nightmare of another Shinobi World War could become a r..."
13051,,Boruto: Naruto Next Generations,finished,2017-04-05,2023-03-26,PG,63.71,192,Naruto was a young shinobi with an incorrigible knack for mischief. He achieved his dream to become the greatest ninja in the village and his face sits atop th...
833,Naruto the Movie 2: Legend of the Stone of Gelel,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,finished,2005-08-06,2005-08-06,PG,66.69,866,"Naruto, Shikamaru, and Sakura are executing their mission of delivering a lost pet to a certain village. However, right in the midst of things, troops led by t..."
5266,,Naruto: Shippuuden Movie 4 - The Lost Tower,finished,2010-07-31,2010-07-31,PG,73.68,871,"Assigned on a mission to capture Mukade, a missing-nin, Naruto Uzumaki sets out for the once glorious historic ruins of ""Ouran"", where he pursues and corners t..."
6256,,Naruto: Shippuuden Movie 5 - Blood Prison,finished,2011-07-30,2011-07-30,PG,74.35,890,"After being captured for attempting to assassinate the leader of Kumogakure, the Raikage, and killing Jounin from Kirigakure and Iwagakure, Naruto is imprisone..."
